INDEX();cod_pais;cod_sucursal;desc_sucursal;cod_zona_cliente;cod_ruta_cliente;desc_marca (grupo);fecha_liquidacion;Clientes_Vta;total_clientes;% Cob ;Caja_Fisica;Caja_Unitaria;Venta_Neta;ticket;pedidos_concretados;frecuencia_compra
13;GT;02;RUTA EL ATLANTICO;30;1400;BIG;1/1/2025;138;166;83%;1,528;474;6,854;28;244; 1.77 
14;GT;02;RUTA EL ATLANTICO;30;1400;BIG;2/1/2025;129;169;76%;1,609;536;7,400;31;239; 1.85 
15;GT;02;RUTA EL ATLANTICO;30;1400;BIG;3/1/2025;138;175;79%;1,548;529;7,355;32;227; 1.64 
16;GT;02;RUTA EL ATLANTICO;30;1400;BIG;4/1/2025;131;175;75%;1,952;666;9,113;38;238; 1.82 
17;GT;02;RUTA EL ATLANTICO;30;1400;BIG;5/1/2025;125;181;69%;1,328;475;6,356;42;153; 1.22 
18;GT;02;RUTA EL ATLANTICO;30;1400;BIG;6/1/2025;143;188;76%;1,625;615;8,270;34;244; 1.71 
19;GT;02;RUTA EL ATLANTICO;30;1400;BIG;7/1/2025;139;199;70%;1,795;593;8,436;35;239; 1.72 
20;GT;02;RUTA EL ATLANTICO;30;1400;BIG;8/1/2025;150;210;71%;1,769;601;8,326;30;281; 1.87 
21;GT;02;RUTA EL ATLANTICO;30;1400;BIG;9/1/2025;147;217;68%;1,748;593;8,321;37;226; 1.54 
22;GT;02;RUTA EL ATLANTICO;30;1400;BIG;10/1/2025;149;217;69%;1,406;506;6,853;36;191; 1.28 
23;GT;02;RUTA EL ATLANTICO;30;1400;BIG;11/1/2025;151;223;68%;1,444;504;7,072;31;226; 1.50 
24;GT;02;RUTA EL ATLANTICO;30;1400;BIG;12/1/2025;155;231;67%;1,650;554;7,841;36;216; 1.39 
25;GT;02;RUTA EL ATLANTICO;30;1400;BIG;1/1/2026;165;235;70%;1,703;576;8,040;33;241; 1.46 
26;GT;02;RUTA EL ATLANTICO;30;1400;BIG;2/1/2026;173;238;73%;1,852;644;8,785;34;257; 1.49 
27;GT;02;RUTA EL ATLANTICO;30;1400;BIG;3/1/2026;164;246;67%;2,162;779;10,293;37;276; 1.68 
28;GT;02;RUTA EL ATLANTICO;30;1400;BIG;4/1/2026;163;248;66%;1,726;633;8,367;45;185; 1.13 
41;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;1/1/2025;10;166;6%;15;1;48;12;4; 0.40 
42;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;2/1/2025;12;169;7%;21;2;61;7;9; 0.75 
43;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;3/1/2025;10;175;6%;19;2;62;15;4; 0.40 
44;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;4/1/2025;12;175;7%;21;2;68;11;6; 0.50 
45;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;5/1/2025;9;181;5%;16;1;54;27;2; 0.22 
46;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;6/1/2025;1;188;1%;2;0;5;;; -   
47;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;8/1/2025;1;210;0%;0;0;0;;; -   
48;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;9/1/2025;9;217;4%;34;3;112;22;5; 0.56 
49;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;10/1/2025;9;217;4%;21;2;69;35;2; 0.22 
50;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;11/1/2025;16;223;7%;26;2;85;43;2; 0.13 
51;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;12/1/2025;20;231;9%;49;4;176;25;7; 0.35 
52;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;1/1/2026;17;235;7%;43;4;151;19;8; 0.47 
53;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;2/1/2026;25;238;11%;76;6;252;21;12; 0.48 
54;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;3/1/2026;26;246;11%;81;7;269;34;8; 0.31 
55;GT;02;RUTA EL ATLANTICO;30;1400;BIO ALOE;4/1/2026;16;248;6%;45;4;158;40;4; 0.25 
59;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;4/1/2025;1;175;1%;1;0;7;;; -   
60;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;10/1/2025;1;217;0%;0;0;0;0;1; 1.00 
61;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;12/1/2025;1;231;0%;1;0;7;;; -   
62;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;1/1/2026;2;235;1%;1;0;7;7;1; 0.50 
63;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;2/1/2026;5;238;2%;6;0;42;42;1; 0.20 
64;GT;02;RUTA EL ATLANTICO;30;1400;BIO AMAYU;3/1/2026;1;246;0%;1;0;7;;; -   
77;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;1/1/2025;143;166;86%;2,102;730;6,818;25;272; 1.90 
78;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;2/1/2025;142;169;84%;1,942;736;6,722;25;271; 1.91 
79;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;3/1/2025;167;175;95%;2,758;1,086;9,987;30;336; 2.01 
80;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;4/1/2025;157;175;90%;2,558;1,005;9,029;29;311; 1.98 
81;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;5/1/2025;158;181;87%;2,490;950;8,926;32;282; 1.78 
82;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;6/1/2025;163;188;87%;2,709;1,070;9,597;27;356; 2.18 
83;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;7/1/2025;177;199;89%;2,730;1,068;9,815;25;397; 2.24 
84;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;8/1/2025;187;210;89%;2,316;880;8,139;23;350; 1.87 
85;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;9/1/2025;183;217;84%;2,451;946;8,496;24;350; 1.91 
86;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;10/1/2025;188;217;87%;2,654;994;9,007;26;344; 1.83 
87;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;11/1/2025;176;223;79%;2,334;859;7,311;27;275; 1.56 
88;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;12/1/2025;198;231;86%;2,564;958;9,024;25;365; 1.84 
89;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;1/1/2026;209;235;89%;2,189;832;7,550;23;323; 1.55 
90;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;2/1/2026;219;238;92%;1,834;684;6,173;18;342; 1.56 
91;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;3/1/2026;220;246;89%;3,103;1,176;10,707;26;409; 1.86 
92;GT;02;RUTA EL ATLANTICO;30;1400;CIELO;4/1/2026;217;248;88%;1,961;743;6,809;25;270; 1.24 
105;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;1/1/2025;132;166;80%;843;296;3,765;24;160; 1.21 
106;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;2/1/2025;120;169;71%;698;251;3,226;19;167; 1.39 
107;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;3/1/2025;137;175;78%;858;287;3,825;21;185; 1.35 
108;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;4/1/2025;112;175;64%;605;236;2,896;22;133; 1.19 
109;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;5/1/2025;128;181;71%;878;313;4,080;29;143; 1.12 
110;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;6/1/2025;144;188;77%;950;338;4,420;22;204; 1.42 
111;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;7/1/2025;145;199;73%;1,128;351;4,671;25;190; 1.31 
112;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;8/1/2025;157;210;75%;977;332;4,274;20;210; 1.34 
113;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;9/1/2025;160;217;74%;1,316;418;5,581;27;205; 1.28 
114;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;10/1/2025;153;217;71%;1,079;356;4,566;28;163; 1.07 
115;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;11/1/2025;157;223;70%;953;325;4,181;26;159; 1.01 
116;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;12/1/2025;161;231;70%;897;290;3,998;26;152; 0.94 
117;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;1/1/2026;166;235;71%;951;307;4,148;28;147; 0.89 
118;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;2/1/2026;177;238;74%;962;297;4,088;22;183; 1.03 
119;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;3/1/2026;166;246;67%;1,019;322;4,408;27;166; 1.00 
120;GT;02;RUTA EL ATLANTICO;30;1400;CIFRUT;4/1/2026;186;248;75%;889;252;3,467;22;157; 0.84 
128;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;1/1/2025;1;166;1%;1;0;3;;; -   
129;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;2/1/2025;2;169;1%;2;0;6;;; -   
130;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;3/1/2025;4;175;2%;14;1;41;41;1; 0.25 
131;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;4/1/2025;3;175;2%;9;1;26;13;2; 0.67 
132;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;5/1/2025;5;181;3%;6;1;12;3;4; 0.80 
133;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;11/1/2025;1;223;0%;1;0;3;;; -   
134;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;12/1/2025;2;231;1%;2;0;6;;; -   
135;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;1/1/2026;4;235;2%;8;1;23;;; -   
136;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;2/1/2026;6;238;3%;9;1;26;26;1; 0.17 
137;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;3/1/2026;5;246;2%;6;1;17;17;1; 0.20 
138;GT;02;RUTA EL ATLANTICO;30;1400;COOL TEA;4/1/2026;5;248;2%;8;1;23;12;2; 0.40 
151;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;1/1/2025;26;166;16%;80;4;205;17;12; 0.46 
152;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;2/1/2025;15;169;9%;23;1;49;7;7; 0.47 
153;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;3/1/2025;29;175;17%;98;4;213;14;15; 0.52 
154;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;4/1/2025;23;175;13%;73;3;141;9;16; 0.70 
155;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;5/1/2025;20;181;11%;53;1;78;8;10; 0.50 
156;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;6/1/2025;33;188;18%;102;3;196;20;10; 0.30 
157;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;7/1/2025;43;199;22%;195;5;320;10;31; 0.72 
158;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;8/1/2025;48;210;23%;127;3;196;7;28; 0.58 
159;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;9/1/2025;58;217;27%;159;3;251;11;22; 0.38 
160;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;10/1/2025;27;217;12%;60;2;105;10;11; 0.41 
161;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;11/1/2025;68;223;30%;273;9;472;15;31; 0.46 
162;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;12/1/2025;74;231;32%;279;5;456;10;46; 0.62 
163;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;1/1/2026;82;235;35%;344;6;504;8;63; 0.77 
164;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;2/1/2026;104;238;44%;437;9;705;10;68; 0.65 
165;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;3/1/2026;71;246;29%;366;9;617;13;49; 0.69 
166;GT;02;RUTA EL ATLANTICO;30;1400;D GUSSTO;4/1/2026;58;248;23%;212;4;329;10;34; 0.59 
167;GT;02;RUTA EL ATLANTICO;30;1400;DEST;5/1/2025;2;181;1%;1;0;10;;; -   
168;GT;02;RUTA EL ATLANTICO;30;1400;DEST;6/1/2025;26;188;14%;23;5;198;12;16; 0.62 
169;GT;02;RUTA EL ATLANTICO;30;1400;DEST;7/1/2025;22;199;11%;26;5;228;19;12; 0.55 
170;GT;02;RUTA EL ATLANTICO;30;1400;DEST;8/1/2025;8;210;4%;5;1;44;9;5; 0.63 
171;GT;02;RUTA EL ATLANTICO;30;1400;DEST;9/1/2025;22;217;10%;26;2;88;18;5; 0.23 
172;GT;02;RUTA EL ATLANTICO;30;1400;DEST;10/1/2025;12;217;6%;15;1;68;23;3; 0.25 
173;GT;02;RUTA EL ATLANTICO;30;1400;DEST;11/1/2025;22;223;10%;28;3;134;17;8; 0.36 
174;GT;02;RUTA EL ATLANTICO;30;1400;DEST;12/1/2025;19;231;8%;33;3;169;42;4; 0.21 
175;GT;02;RUTA EL ATLANTICO;30;1400;DEST;1/1/2026;15;235;6%;27;2;100;33;3; 0.20 
176;GT;02;RUTA EL ATLANTICO;30;1400;DEST;2/1/2026;17;238;7%;31;3;148;21;7; 0.41 
177;GT;02;RUTA EL ATLANTICO;30;1400;DEST;3/1/2026;18;246;7%;37;3;142;71;2; 0.11 
178;GT;02;RUTA EL ATLANTICO;30;1400;DEST;4/1/2026;13;248;5%;26;1;77;19;4; 0.31 
179;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;9/1/2025;67;217;31%;106;14;558;15;37; 0.55 
180;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;10/1/2025;25;217;12%;42;6;226;21;11; 0.44 
181;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;11/1/2025;38;223;17%;66;9;353;39;9; 0.24 
182;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;12/1/2025;26;231;11%;36;5;195;20;10; 0.38 
183;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;1/1/2026;33;235;14%;58;8;311;26;12; 0.36 
184;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;2/1/2026;51;238;21%;69;9;364;40;9; 0.18 
185;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;3/1/2026;28;246;11%;49;6;260;65;4; 0.14 
186;GT;02;RUTA EL ATLANTICO;30;1400;DILYTE;4/1/2026;27;248;11%;38;5;204;23;9; 0.33 
199;GT;02;RUTA EL ATLANTICO;30;1400;KR;1/1/2025;9;166;5%;20;2;46;8;6; 0.67 
200;GT;02;RUTA EL ATLANTICO;30;1400;KR;2/1/2025;6;169;4%;14;2;32;32;1; 0.17 
201;GT;02;RUTA EL ATLANTICO;30;1400;KR;3/1/2025;11;175;6%;26;3;60;10;6; 0.55 
202;GT;02;RUTA EL ATLANTICO;30;1400;KR;4/1/2025;3;175;2%;8;1;19;5;4; 1.33 
203;GT;02;RUTA EL ATLANTICO;30;1400;KR;6/1/2025;1;188;1%;2;0;5;2;2; 2.00 
204;GT;02;RUTA EL ATLANTICO;30;1400;KR;7/1/2025;1;199;1%;2;0;5;;; -   
205;GT;02;RUTA EL ATLANTICO;30;1400;KR;8/1/2025;3;210;1%;3;0;7;;; -   
218;GT;02;RUTA EL ATLANTICO;30;1400;PULP;1/1/2025;72;166;43%;588;56;1,509;23;66; 0.92 
219;GT;02;RUTA EL ATLANTICO;30;1400;PULP;2/1/2025;59;169;35%;354;33;951;20;47; 0.80 
220;GT;02;RUTA EL ATLANTICO;30;1400;PULP;3/1/2025;52;175;30%;239;21;612;26;24; 0.46 
221;GT;02;RUTA EL ATLANTICO;30;1400;PULP;4/1/2025;61;175;35%;338;24;590;14;42; 0.69 
222;GT;02;RUTA EL ATLANTICO;30;1400;PULP;5/1/2025;91;181;50%;486;39;1,050;16;65; 0.71 
223;GT;02;RUTA EL ATLANTICO;30;1400;PULP;6/1/2025;89;188;47%;494;40;1,072;14;75; 0.84 
224;GT;02;RUTA EL ATLANTICO;30;1400;PULP;7/1/2025;105;199;53%;947;79;2,060;23;89; 0.85 
225;GT;02;RUTA EL ATLANTICO;30;1400;PULP;8/1/2025;113;210;54%;906;77;2,060;19;107; 0.95 
226;GT;02;RUTA EL ATLANTICO;30;1400;PULP;9/1/2025;100;217;46%;820;68;1,861;20;92; 0.92 
227;GT;02;RUTA EL ATLANTICO;30;1400;PULP;10/1/2025;123;217;57%;980;81;2,113;23;92; 0.75 
228;GT;02;RUTA EL ATLANTICO;30;1400;PULP;11/1/2025;104;223;47%;892;73;1,908;27;71; 0.68 
229;GT;02;RUTA EL ATLANTICO;30;1400;PULP;12/1/2025;139;231;60%;872;72;2,024;18;112; 0.81 
230;GT;02;RUTA EL ATLANTICO;30;1400;PULP;1/1/2026;157;235;67%;929;75;2,062;20;105; 0.67 
231;GT;02;RUTA EL ATLANTICO;30;1400;PULP;2/1/2026;146;238;61%;1,129;97;2,724;22;124; 0.85 
232;GT;02;RUTA EL ATLANTICO;30;1400;PULP;3/1/2026;145;246;59%;1,284;105;2,863;24;121; 0.83 
233;GT;02;RUTA EL ATLANTICO;30;1400;PULP;4/1/2026;144;248;58%;1,117;97;2,628;27;98; 0.68 
246;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;1/1/2025;130;166;78%;904;193;4,259;26;161; 1.24 
247;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;2/1/2025;127;169;75%;958;202;4,300;28;152; 1.20 
248;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;3/1/2025;154;175;88%;1,488;320;6,858;30;231; 1.50 
249;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;4/1/2025;136;175;78%;1,260;260;5,663;33;174; 1.28 
250;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;5/1/2025;153;181;85%;1,304;266;5,789;36;161; 1.05 
251;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;6/1/2025;148;188;79%;1,051;206;4,683;25;191; 1.29 
252;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;7/1/2025;167;199;84%;1,508;300;6,805;30;230; 1.38 
253;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;8/1/2025;162;210;77%;1,688;336;7,548;33;228; 1.41 
254;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;9/1/2025;163;217;75%;1,290;271;6,134;37;164; 1.01 
255;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;10/1/2025;164;217;76%;1,567;324;7,084;39;182; 1.11 
256;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;11/1/2025;166;223;74%;1,154;233;4,930;31;159; 0.96 
257;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;12/1/2025;172;231;74%;1,309;274;6,140;36;172; 1.00 
258;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;1/1/2026;179;235;76%;1,428;300;6,544;38;173; 0.97 
259;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;2/1/2026;177;238;74%;1,369;279;6,120;35;174; 0.98 
260;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;3/1/2026;190;246;77%;1,913;407;8,630;47;184; 0.97 
261;GT;02;RUTA EL ATLANTICO;30;1400;SPORADE;4/1/2026;175;248;71%;1,303;272;5,984;36;165; 0.94 
262;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;5/1/2025;42;181;23%;42;17;152;8;20; 0.48 
263;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;6/1/2025;8;188;4%;3;1;9;3;3; 0.38 
264;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;7/1/2025;1;199;1%;2;1;9;;; -   
265;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;8/1/2025;5;210;2%;5;2;23;23;1; 0.20 
266;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;9/1/2025;4;217;2%;8;3;37;12;3; 0.75 
267;GT;02;RUTA EL ATLANTICO;30;1400;VIDA;11/1/2025;3;223;1%;3;1;14;;; -   
280;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;1/1/2025;70;166;42%;255;34;792;17;47; 0.67 
281;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;2/1/2025;57;169;34%;151;20;492;16;30; 0.53 
282;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;3/1/2025;62;175;35%;186;26;627;22;29; 0.47 
283;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;4/1/2025;45;175;26%;110;16;388;15;26; 0.58 
284;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;5/1/2025;62;181;34%;164;23;506;18;28; 0.45 
285;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;6/1/2025;80;188;43%;247;33;527;21;25; 0.31 
286;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;7/1/2025;75;199;38%;210;31;701;18;40; 0.53 
287;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;8/1/2025;71;210;34%;143;21;519;13;40; 0.56 
288;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;9/1/2025;64;217;29%;139;20;493;19;26; 0.41 
289;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;10/1/2025;65;217;30%;162;24;580;21;27; 0.42 
290;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;11/1/2025;55;223;25%;103;14;366;26;14; 0.25 
291;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;12/1/2025;27;231;12%;40;6;159;13;12; 0.44 
292;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;1/1/2026;25;235;11%;54;8;204;102;2; 0.08 
293;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;2/1/2026;25;238;11%;42;5;143;36;4; 0.16 
294;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;3/1/2026;96;246;39%;283;23;826;16;51; 0.53 
295;GT;02;RUTA EL ATLANTICO;30;1400;VOLT;4/1/2026;37;248;15%;87;7;267;22;12; 0.32 
296;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;9/1/2025;18;217;8%;23;6;106;18;6; 0.33 
297;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;10/1/2025;10;217;5%;15;4;70;35;2; 0.20 
298;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;11/1/2025;31;223;14%;46;7;168;21;8; 0.26 
299;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;12/1/2025;71;231;31%;183;26;549;20;27; 0.38 
300;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;1/1/2026;46;235;20%;120;17;405;31;13; 0.28 
301;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;2/1/2026;54;238;23%;92;13;316;20;16; 0.30 
302;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;3/1/2026;52;246;21%;147;21;486;29;17; 0.33 
303;GT;02;RUTA EL ATLANTICO;30;1400;VOLT GO;4/1/2026;32;248;13%;102;15;333;48;7; 0.22 
316;GT;02;RUTA EL ATLANTICO;30;1401;BIG;1/1/2025;150;176;85%;1,727;580;8,152;29;282; 1.88 
317;GT;02;RUTA EL ATLANTICO;30;1401;BIG;2/1/2025;156;182;86%;1,797;671;8,859;33;268; 1.72 
318;GT;02;RUTA EL ATLANTICO;30;1401;BIG;3/1/2025;150;188;80%;1,966;726;9,656;34;282; 1.88 
319;GT;02;RUTA EL ATLANTICO;30;1401;BIG;4/1/2025;142;188;76%;2,148;863;10,855;61;177; 1.25 
320;GT;02;RUTA EL ATLANTICO;30;1401;BIG;5/1/2025;156;193;81%;1,785;653;9,189;41;224; 1.44 
321;GT;02;RUTA EL ATLANTICO;30;1401;BIG;6/1/2025;142;200;71%;1,102;423;5,674;23;244; 1.72 
322;GT;02;RUTA EL ATLANTICO;30;1401;BIG;7/1/2025;154;207;74%;1,163;445;5,985;24;248; 1.61 
323;GT;02;RUTA EL ATLANTICO;30;1401;BIG;8/1/2025;161;210;77%;1,318;496;6,668;24;275; 1.71 
324;GT;02;RUTA EL ATLANTICO;30;1401;BIG;9/1/2025;152;221;69%;1,521;628;7,956;34;235; 1.55 
325;GT;02;RUTA EL ATLANTICO;30;1401;BIG;10/1/2025;156;221;71%;1,045;398;5,301;24;220; 1.41 
326;GT;02;RUTA EL ATLANTICO;30;1401;BIG;11/1/2025;155;229;68%;1,911;686;9,616;44;219; 1.41 
327;GT;02;RUTA EL ATLANTICO;30;1401;BIG;12/1/2025;159;236;67%;1,308;459;6,255;27;228; 1.43 
328;GT;02;RUTA EL ATLANTICO;30;1401;BIG;1/1/2026;155;244;64%;1,564;567;7,819;34;233; 1.50 
329;GT;02;RUTA EL ATLANTICO;30;1401;BIG;2/1/2026;171;245;70%;2,029;773;10,004;37;270; 1.58 
330;GT;02;RUTA EL ATLANTICO;30;1401;BIG;3/1/2026;171;256;67%;2,294;854;11,261;43;262; 1.53 
331;GT;02;RUTA EL ATLANTICO;30;1401;BIG;4/1/2026;152;263;58%;1,693;647;8,406;41;207; 1.36 
344;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;1/1/2025;15;176;9%;30;2;92;18;5; 0.33 
345;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;2/1/2025;9;182;5%;11;1;34;8;4; 0.44 
346;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;3/1/2025;10;188;5%;18;1;56;14;4; 0.40 
347;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;4/1/2025;9;188;5%;20;2;65;11;6; 0.67 
348;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;5/1/2025;14;193;7%;38;3;122;15;8; 0.57 
349;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;8/1/2025;3;210;1%;4;0;14;14;1; 0.33 
350;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;9/1/2025;9;221;4%;22;2;65;22;3; 0.33 
351;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;10/1/2025;10;221;5%;20;2;64;9;7; 0.70 
352;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;11/1/2025;12;229;5%;22;2;70;12;6; 0.50 
353;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;12/1/2025;10;236;4%;20;2;68;14;5; 0.50 
354;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;1/1/2026;9;244;4%;20;2;64;11;6; 0.67 
355;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;2/1/2026;11;245;4%;20;2;66;13;5; 0.45 
356;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;3/1/2026;14;256;5%;26;2;81;10;8; 0.57 
357;GT;02;RUTA EL ATLANTICO;30;1401;BIO ALOE;4/1/2026;8;263;3%;18;1;58;19;3; 0.38 
361;GT;02;RUTA EL ATLANTICO;30;1401;BIO AMAYU;8/1/2025;1;210;0%;1;0;7;;; -   
362;GT;02;RUTA EL ATLANTICO;30;1401;BIO AMAYU;3/1/2026;1;256;0%;1;0;7;;; -   
375;GT;02;RUTA EL ATLANTICO;30;1401;CIELO;1/1/2025;151;176;86%;1,442;491;4,547;20;229; 1.52 
376;GT;02;RUTA EL ATLANTICO;30;1401;CIELO;2/1/2025;155;182;85%;1,446;547;4,929;22;222; 1.43 
